"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1080","test_hotel_list","test","Sun Jun 29 20:28:18 GMT 2025","passed","Sun Jun 29 20:28:19 GMT 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","1659","Hootel Login","test","Sun Jun 29 20:28:10 GMT 2025","passed","Sun Jun 29 20:28:11 GMT 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","3381","Hootel Login","test","Sun Jun 29 20:28:13 GMT 2025","passed","Sun Jun 29 20:28:16 GMT 2025","TestHootel","test_hootel","",""
