"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1454","Hootel Login","test","Sun Jun 29 20:23:24 GMT 2025","passed","Sun Jun 29 20:23:26 GMT 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","3369","Hootel Login","test","Sun Jun 29 20:23:28 GMT 2025","passed","Sun Jun 29 20:23:31 GMT 2025","TestHootel","test_hootel","",""
"","1080","test_hotel_list","test","Sun Jun 29 20:23:34 GMT 2025","passed","Sun Jun 29 20:23:35 GMT 2025","TestHootel","test_hootel","",""
